ents_1,indir_name
ents_2,outdir_name
ents_config,condir_name
ents_grid,ents_igrid
ents_3,ents_npstp
ents_4,ents_iwstp
ents_5,ents_itstp
ents_6,ents_ianav
ents_7,ents_restart
ents_8,ents_yearlen
ents_17,ents_out_name
ents_18,ents_netin
ents_19,ents_netout
ents_20,ents_ascout
ents_21,ents_filenetin
ents_22,ents_dirnetout
ents_24,ents_restart_file
ents_25,ents_offlineswitch
