# module_name,   flag_name,       namelist_name
embm,            ebatmos,         EMBM
goldstein,       goldsteinocean,  GOLD
goldsteinseaice, goldsteinseaice, goldSIC
ents,            ents,            ENTS
biogem,          biogem,          BIOGEM
atchem,          atchem,          ATCHEM
sedgem,          sedgem,          SEDGEM
rokgem,          rokgem,          ROKGEM
gemlite,         gemlite,         GEMLITE
